root_pos_x,root_pos_y,root_pos_z,root_quat_x,root_quat_y,root_quat_z,root_quat_w,aahead_yaw_joint,aahead_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_elbow_pitch_joint,left_elbow_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_elbow_pitch_joint,right_elbow_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0.86389667841171,-1.16256988964987,0.555022974726142,-0.000485455931181353,-0.000407443704706527,-0.831471692690866,0.555566757983191,0.0011710865774444,0.0014381914065477,0.200621091621995,-1.44878955720071,0.0020881682020626,-0.506027157987267,0.198643663193295,1.44895842728863,0.0031626316499823,0.503122872243991,-0.101098710735676,0.0006799428410131,0.0012125193263449,0.207214609515308,-0.0994190546196502,-0.0007243978450862,-0.098905813761698,0.000101827934665,-0.0007451617944913,0.206207258839807,-0.101293063240475,-0.0001424740079742
0.864012671364684,-1.16183855585995,0.555082989890457,-0.0017475865016096,-0.00146678094754739,-0.831402648873937,0.555665753794916,0.00421603463097776,0.00517727656261908,0.202235636648798,-1.44564222288028,0.00751746728082504,-0.521697863194907,0.195117065277318,1.44625037091545,0.0113852526599929,0.511242148897596,-0.103955484294271,0.00244757713640524,0.00436520773053796,0.212972443806123,-0.0979088218478601,-0.00260755913803448,-0.0960607255046792,0.000366531173866,-0.00268246471779652,0.209346303535923,-0.10465482529619,-0.00051298960318968
0.8641466,-1.1609946,0.555152,-0.0032040076803778,-0.00268900644603752,-0.831320185350077,0.555778060927769,0.0077294,0.0094918,0.2040988,-1.4420108,0.013782,-0.5397794,0.191048,1.4431256,0.020873,0.5206108,-0.1072516,0.0044874,0.0080028,0.2196162,-0.096166,-0.0047806,-0.092778,0.000672,-0.004918,0.2129682,-0.108534,-0.0009404
0.8643164,-1.1599254,0.555239,-0.00504900796128963,-0.00423700668103634,-0.831211432863714,0.555917358219406,0.0121796,0.0149572,0.2064592,-1.4374112,0.021717,-0.5626826,0.185894,1.4391674,0.032891,0.5324782,-0.1114264,0.0070716,0.0126102,0.2280318,-0.093958,-0.0075334,-0.08862,0.001059,-0.00775,0.2175558,-0.113448,-0.0014816
0.8644774,-1.1589126,0.5553216,-0.00679641223140083,-0.00570381026507477,-0.831103891608673,0.556046397958084,0.0163954,0.0201346,0.2086952,-1.4330536,0.0292344,-0.5843802,0.1810112,1.4354176,0.0442766,0.5437204,-0.1153816,0.0095194,0.0169752,0.2360046,-0.0918664,-0.0101414,-0.0846812,0.0014256,-0.0104324,0.2219018,-0.1181032,-0.0019944
0.864634,-1.157928,0.555402,-0.00849500149294992,-0.00713000125305862,-0.830995146042839,0.556169097743669,0.020494,0.025168,0.210869,-1.428817,0.036543,-0.605475,0.176264,1.431772,0.055346,0.55465,-0.119227,0.011899,0.021219,0.243756,-0.089833,-0.012677,-0.080852,0.001782,-0.01304,0.226127,-0.122629,-0.002493
0.86479,-1.1569428,0.5554824,-0.0101942178517461,-0.00855621498333341,-0.830882461170556,0.556288778267826,0.0245926,0.030202,0.2130428,-1.4245804,0.0438516,-0.6265704,0.1715168,1.428127,0.0664154,0.5655802,-0.123073,0.0142786,0.0254628,0.2515068,-0.0878002,-0.0152126,-0.0770222,0.0021384,-0.0156482,0.2303522,-0.1271542,-0.0029916
0.8649462,-1.1559578,0.5555628,-0.0118932139314504,-0.00998221169294362,-0.830765572110199,0.556405851073217,0.0286914,0.0352358,0.2152166,-1.4203438,0.0511602,-0.6476656,0.1667696,1.4244818,0.0774846,0.5765104,-0.1269188,0.0166584,0.0297066,0.2592578,-0.0857672,-0.017748,-0.0731924,0.0024948,-0.0182564,0.2345776,-0.1316796,-0.0034902
0.8651028,-1.1549732,0.5556432,-0.0135918161843605,-0.0114078135837741,-0.830644388182393,0.556520462070485,0.0327906,0.0402692,0.2173904,-1.4161072,0.0584688,-0.6687604,0.1620224,1.4208362,0.0885534,0.5874406,-0.1307642,0.0190386,0.0339504,0.2670092,-0.0837338,-0.020283,-0.0693626,0.0028512,-0.0208646,0.2388034,-0.1362054,-0.0039888
0.865259,-1.1539886,0.5557236,-0.0152904259038325,-0.0128334217413725,-0.83051921130094,0.556632145875669,0.0368894,0.045303,0.2195642,-1.411871,0.0657774,-0.6898556,0.1572752,1.4171906,0.0996226,0.5983708,-0.1346096,0.0214184,0.0381942,0.2747602,-0.0817004,-0.0228184,-0.0655328,0.0032076,-0.0234728,0.2430288,-0.1407312,-0.0044878
0.865415,-1.153004,0.555804,-0.0169889996739556,-0.0142589997263484,-0.830389984063571,0.556740989315305,0.040988,0.050337,0.221738,-1.407635,0.073086,-0.710951,0.152528,1.413545,0.110692,0.609301,-0.138455,0.023798,0.042438,0.282511,-0.079667,-0.025354,-0.061703,0.003564,-0.026081,0.247254,-0.145257,-0.004987
0.8655716,-1.1520194,0.5558844,-0.0186876272690011,-0.0156846228870194,-0.830256819613554,0.55684681796445,0.0450866,0.0553704,0.2239118,-1.4033984,0.0803946,-0.7320458,0.1477808,1.4098994,0.1217614,0.6202306,-0.1423004,0.0261776,0.0466818,0.2902624,-0.0776336,-0.0278896,-0.0578738,0.0039204,-0.0286886,0.2514792,-0.1497828,-0.0054856
0.865728,-1.1510348,0.5559648,-0.0203862158828462,-0.017110213330523,-0.830119449512839,0.556950035768257,0.0491854,0.060404,0.2260856,-1.3991618,0.0877032,-0.7531406,0.1430336,1.4062538,0.1328306,0.6311604,-0.1461458,0.0285574,0.0509256,0.2980136,-0.0756002,-0.030425,-0.0540444,0.0042768,-0.0312964,0.2557046,-0.1543086,-0.0059842
0.865884,-1.1500502,0.5560452,-0.0220848152266228,-0.0185358127797249,-0.829977774793487,0.557050785772583,0.0532846,0.065438,0.2282594,-1.3949252,0.0950118,-0.7742354,0.1382864,1.4026082,0.1438994,0.6420906,-0.1499912,0.0309376,0.0551694,0.3057644,-0.0735668,-0.03296,-0.0502146,0.0046332,-0.0339046,0.2599304,-0.1588344,-0.0064828
0.8660404,-1.1490652,0.5561256,-0.0237834341483375,-0.0199614286606815,-0.829831979103968,0.557148791690629,0.0573834,0.0704716,0.2304332,-1.3906886,0.1023204,-0.7953306,0.1335392,1.3989626,0.1549686,0.6530208,-0.1538366,0.0333174,0.0594132,0.3135156,-0.0715334,-0.0354954,-0.0463848,0.0049896,-0.0365128,0.2641558,-0.1633602,-0.0069814
0.866197,-1.14808,0.556206,-0.0254820021308943,-0.021387001788456,-0.829682069380921,0.5572440465987,0.061482,0.075505,0.232607,-1.386452,0.109629,-0.816426,0.128792,1.395317,0.166038,0.663951,-0.157682,0.035697,0.063657,0.321267,-0.0695,-0.038031,-0.042555,0.005346,-0.039121,0.268381,-0.167886,-0.00748
0.866353,-1.1470954,0.5562864,-0.0271800399345907,-0.0228120335168666,-0.829528427545504,0.557336024719256,0.0655806,0.0805384,0.2347808,-1.3822154,0.1169376,-0.8375208,0.1240448,1.391672,0.1771074,0.6748812,-0.1615274,0.0380766,0.0679008,0.3290184,-0.0674672,-0.0405666,-0.0387252,0.0057024,-0.0417292,0.2726062,-0.1724118,-0.0079786
0.8665092,-1.1461108,0.5563668,-0.0288778254421726,-0.0242370213535504,-0.829370523486818,0.55742548628928,0.0696794,0.085572,0.2369546,-1.3779788,0.1242462,-0.8586158,0.1192976,1.3880268,0.1881768,0.6858112,-0.165373,0.0404564,0.0721446,0.3367696,-0.0654342,-0.043102,-0.0348956,0.0060588,-0.0443374,0.2768316,-0.1769376,-0.0084772
0.8666658,-1.1451262,0.5564472,-0.0305752370663131,-0.025662031110094,-0.829208198436371,0.557512671321066,0.0737786,0.090606,0.2391284,-1.3737422,0.1315548,-0.8797112,0.1145504,1.3843812,0.1992462,0.6967408,-0.169219,0.0428366,0.0763884,0.3445204,-0.0634008,-0.045637,-0.0310664,0.0064152,-0.0469456,0.2810574,-0.1814634,-0.0089758
0.866822,-1.1441416,0.5565276,-0.0322730538238925,-0.0270870451748725,-0.82904199086507,0.557596735430774,0.0778774,0.0956396,0.2413022,-1.3695056,0.1388634,-0.9008062,0.1098032,1.3807356,0.2103152,0.7076708,-0.1730646,0.0452164,0.0806322,0.3522716,-0.0613674,-0.0481724,-0.0272368,0.0067716,-0.0495534,0.2852828,-0.1859888,-0.0094744
0.866978,-1.143157,0.556608,-0.0339709913874545,-0.0285119927714552,-0.828871789859063,0.557677858613902,0.081976,0.100673,0.243476,-1.365269,0.146172,-0.921901,0.105056,1.37709,0.221384,0.718601,-0.17691,0.047596,0.084876,0.360023,-0.059334,-0.050708,-0.023407,0.007128,-0.052161,0.289508,-0.190514,-0.009973
0.8671346,-1.1421724,0.5566884,-0.0356678562312677,-0.029936447195588,-0.828697501812131,0.557756276209874,0.0860746,0.105707,0.2456498,-1.3610324,0.1534806,-0.9429958,0.1003088,1.3734444,0.2324534,0.7295312,-0.1807554,0.0499756,0.0891198,0.3677738,-0.0573006,-0.0532436,-0.0195772,0.0074844,-0.0547692,0.2937332,-0.1950398,-0.0104716
0.8672912,-1.1411876,0.5567688,-0.0373648391483096,-0.0313606328576121,-0.828519072423431,0.557831987369681,0.0901734,0.1107408,0.2478236,-1.3567958,0.1607892,-0.9640908,0.0955616,1.3697988,0.2435228,0.7404614,-0.1846008,0.0523554,0.0933636,0.3755248,-0.0552672,-0.055779,-0.0157474,0.0078408,-0.0573774,0.2979586,-0.1995656,-0.0109702
0.8674478,-1.1402024,0.5568492,-0.0390622308078286,-0.0327844258567055,-0.828336457465974,0.557905042796965,0.0942726,0.1157742,0.2499974,-1.3525592,0.1680978,-0.9851862,0.0908144,1.3661532,0.2545922,0.7513916,-0.1884462,0.0547356,0.0976074,0.3832762,-0.0532338,-0.058314,-0.0119176,0.0081972,-0.0599856,0.3021844,-0.2040914,-0.0114688
0.867604,-1.1392176,0.5569296,-0.0407588559039039,-0.0342086469198759,-0.828149732052989,0.557975362755272,0.0983714,0.120808,0.2521716,-1.3483226,0.1754064,-1.0062812,0.0860676,1.3625076,0.2656612,0.7623214,-0.1922916,0.0571154,0.1018512,0.3910272,-0.0512004,-0.0608494,-0.00808819999999997,0.0085536,-0.0625938,0.3064098,-0.2086172,-0.0119674
0.86776,-1.138233,0.55701,-0.0424549950488139,-0.035632995844409,-0.827958903441782,0.558042934919921,0.10247,0.125842,0.254346,-1.344086,0.182715,-1.027376,0.081321,1.358862,0.27673,0.773251,-0.196137,0.059495,0.106095,0.398778,-0.049167,-0.063385,-0.00425899999999998,0.00891,-0.065202,0.310635,-0.213143,-0.012466
0.8679166,-1.1372484,0.5570904,-0.0441512715129764,-0.0370568600219801,-0.827764138933543,0.558107502766903,0.1065686,0.1308754,0.2565198,-1.3398494,0.1900236,-1.0484714,0.0765738,1.355217,0.2877994,0.7841812,-0.1999824,0.0618746,0.1103388,0.4065294,-0.0471336,-0.06592,-0.000429199999999979,0.0092664,-0.0678096,0.3148602,-0.2176688,-0.0129652
0.868073,-1.1362638,0.5571708,-0.0458474542323166,-0.0384804455179515,-0.827565176642574,0.558169458732471,0.1106674,0.135909,0.2586936,-1.3356128,0.1973322,-1.0695666,0.0718266,1.3515718,0.2988688,0.7951114,-0.2038278,0.0642544,0.1145826,0.4142806,-0.0451004,-0.0684552,0.00340060000000002,0.0096228,-0.0704174,0.3190856,-0.2221946,-0.0134642
0.868229,-1.1352792,0.5572512,-0.0475436641225542,-0.039903653818374,-0.827361913678535,0.558228951423999,0.1147666,0.140943,0.2608674,-1.3313762,0.2046408,-1.0906614,0.0670794,1.3479262,0.3099382,0.8060416,-0.2076732,0.0666346,0.1188264,0.4220314,-0.0430676,-0.0709908,0.00723040000000003,0.0099792,-0.0730256,0.3233114,-0.2267204,-0.0139628
0.8683854,-1.1342946,0.5573316,-0.04923948222901,-0.0413268690150737,-0.827154789129814,0.558285337535245,0.1188654,0.1459766,0.2630412,-1.32714,0.2119494,-1.1117566,0.0623322,1.3442806,0.3210072,0.8169718,-0.211519,0.0690144,0.1230706,0.4297826,-0.0410344,-0.0735264,0.0110602,0.0103356,-0.0756338,0.3275368,-0.2312462,-0.0144614
0.868542,-1.13331,0.557412,-0.0509349807776003,-0.0427499838665439,-0.826943687918953,0.558338789288006,0.122964,0.15101,0.265215,-1.322904,0.219258,-1.132852,0.0575849999999999,1.340635,0.332076,0.827902,-0.215365,0.071394,0.127315,0.437534,-0.039001,-0.076062,0.01489,0.010692,-0.078242,0.331762,-0.235772,-0.01496
0.868698,-1.1323248,0.5574924,-0.0526300956192993,-0.0441726802537082,-0.826728292460171,0.558389808109171,0.1270626,0.156044,0.2673888,-1.3186674,0.2265666,-1.1539468,0.0528378,1.3369894,0.3431454,0.8388316,-0.2192104,0.0737736,0.1315588,0.4452854,-0.0369676,-0.078597,0.0187192,0.0110484,-0.0808502,0.3359878,-0.2402978,-0.0154586
0.8688542,-1.1313398,0.5575728,-0.054324881034298,-0.0455950680123955,-0.826508836855062,0.558438035662012,0.1311614,0.1610778,0.2695626,-1.3144308,0.2338752,-1.1750416,0.0480905999999999,1.3333438,0.3542148,0.8497614,-0.2230558,0.0761534,0.1358026,0.4530366,-0.0349342,-0.0811322,0.0225486,0.0114048,-0.0834584,0.3402134,-0.2448234,-0.0159572
0.8690108,-1.1303552,0.5576532,-0.0560192642567905,-0.0470170539308395,-0.826285351652724,0.558483443188719,0.1352606,0.1661112,0.2717364,-1.3101942,0.2411838,-1.1961364,0.0433433999999999,1.3296982,0.3652842,0.8606916,-0.2269012,0.0785336,0.1400464,0.4607874,-0.0329008,-0.0836678,0.0263784000000001,0.0117612,-0.0860666,0.3444386,-0.2493486,-0.0164558
0.869167,-1.1293706,0.5577336,-0.0577136932144173,-0.0484390782348179,-0.826057733515548,0.558526101641158,0.1393594,0.1711446,0.2739102,-1.3059576,0.2484924,-1.2172316,0.0385961999999999,1.3260526,0.3763532,0.8716218,-0.2307466,0.0809134,0.1442902,0.4685386,-0.0308674,-0.0862034,0.0302082000000001,0.0121176,-0.0886744,0.3486638,-0.2538742,-0.0169544
0.869323,-1.128386,0.557814,-0.0594080003440615,-0.04986100028877,-0.825826004782771,0.558566003234935,0.143458,0.176178,0.276084,-1.301721,0.255801,-1.238327,0.0338489999999999,1.322407,0.387422,0.882552,-0.234592,0.083293,0.148534,0.47629,-0.028834,-0.088739,0.034038,0.012474,-0.091282,0.352889,-0.2584,-0.017453
0.8694796,-1.1274014,0.5578944,-0.0611019006312308,-0.0512824844592318,-0.825590359816527,0.558602920064833,0.1475566,0.181212,0.2782578,-1.2974844,0.2631096,-1.2594218,0.0291017999999999,1.318762,0.3984914,0.8934822,-0.2384374,0.0856726,0.1527778,0.4840408,-0.0268006,-0.091274,0.0378678,0.0128304,-0.0938902,0.3571148,-0.2629258,-0.0179516
0.869636,-1.1264168,0.5579748,-0.0627954702017362,-0.0527038589199033,-0.825350521960602,0.558637224034037,0.1516554,0.1862458,0.2804316,-1.2932478,0.2704182,-1.2805168,0.0243545999999999,1.3151168,0.4095608,0.9044122,-0.2422828,0.0880524,0.1570216,0.4917918,-0.0247672,-0.0938092000000001,0.0416974000000001,0.0131868,-0.0964984,0.3613404,-0.2674516,-0.0184502
0.869792,-1.1254322,0.5580552,-0.0644886768267026,-0.0541252644805636,-0.825106382251701,0.558669065076598,0.1557546,0.1912792,0.2826054,-1.2890112,0.2777268,-1.3016122,0.0196073999999999,1.3114712,0.4206302,0.9153418,-0.2461282,0.0904326,0.1612654,0.4995432,-0.0227338,-0.0963448,0.0455266000000001,0.0135432,-0.0991066,0.3655656,-0.2719774,-0.0189488
0.8699484,-1.1244472,0.5581356,-0.0661815179532031,-0.0555462989983959,-0.824858269747726,0.558697995501845,0.1598534,0.196313,0.2847792,-1.2847746,0.2850354,-1.3227072,0.0148601999999999,1.3078256,0.4316992,0.9262718,-0.249974,0.0928124,0.1655092,0.5072942,-0.0207008,-0.0988804,0.0493562000000001,0.0138996,-0.1017148,0.3697908,-0.2765032,-0.0194474
0.870105,-1.123462,0.558216,-0.0678740107791744,-0.0569670090470169,-0.824606130956947,0.558724088731818,0.163952,0.201347,0.286953,-1.280538,0.292344,-1.343802,0.0101129999999999,1.30418,0.442768,0.937202,-0.25382,0.095192,0.169753,0.515045,-0.018668,-0.101416,0.0531860000000001,0.014256,-0.104323,0.374016,-0.281029,-0.019946
0.870261,-1.1224774,0.5582964,-0.0695661243686485,-0.058387304383421,-0.82435007401836,0.558747199091939,0.1680506,0.2063804,0.2891268,-1.2763014,0.2996526,-1.3648974,0.00536579999999991,1.3005344,0.4538374,0.9481322,-0.2576654,0.0975716,0.1739968,0.5227964,-0.0166346,-0.103951,0.0570158000000001,0.0146124,-0.1069306,0.3782418,-0.2855548,-0.0204446
0.8704172,-1.1214928,0.558377,-0.071257889649615,-0.0598072752435865,-0.824089835949953,0.558767702426153,0.1721494,0.211414,0.2913006,-1.2720648,0.3069612,-1.3859926,0.000618599999999893,1.2968888,0.4649068,0.9590624,-0.2615108,0.0999514000000001,0.1782406,0.5305476,-0.0146012,-0.1064862,0.0608456000000001,0.0149688,-0.1095384,0.3824674,-0.2900806,-0.0209434
0.8705738,-1.1205082,0.558458,-0.0729492987154539,-0.0612268828526062,-0.823825313986866,0.558785755605418,0.1762486,0.216448,0.2934744,-1.2678282,0.3142698,-1.4070874,-0.00412860000000009,1.2932432,0.4759762,0.9699926,-0.2653562,0.1023316,0.1824844,0.5382984,-0.0125678,-0.1090218,0.0646754000000001,0.0153252,-0.1121466,0.3866926,-0.2946064,-0.0214426
0.8707304,-1.1195236,0.5585386,-0.0746403217790451,-0.0626461022099652,-0.823556949255147,0.558800715439927,0.1803474,0.2214816,0.2956482,-1.2635916,0.321578,-1.4281822,-0.0088758000000001,1.2895976,0.4870452,0.9809224,-0.2692016,0.1047114,0.1867282,0.5460496,-0.0105344,-0.1115574,0.0685048000000001,0.0156816,-0.1147548,0.3909178,-0.2991318,-0.0219414
0.870887,-1.118539,0.558619,-0.0763309654228438,-0.0640649709792154,-0.823284627060381,0.558812746863471,0.184446,0.226515,0.297822,-1.259355,0.328886,-1.449277,-0.0136230000000001,1.285952,0.498114,0.991852,-0.273047,0.107091,0.190972,0.553801,-0.00850099999999995,-0.114093,0.0723340000000001,0.016038,-0.117363,0.395143,-0.303657,-0.02244
0.871043,-1.1175544,0.5586994,-0.0780213330436335,-0.0654835116638109,-0.823007997348092,0.55882234886532,0.1885446,0.231549,0.2999958,-1.2551184,0.3361946,-1.4703724,-0.0183702000000001,1.2823064,0.5091834,1.0027822,-0.2768924,0.1094706,0.1952158,0.5615524,-0.00646759999999995,-0.116628,0.0761638000000001,0.0163944,-0.1199712,0.3993688,-0.3081828,-0.0229386
0.8711992,-1.1165696,0.5587798,-0.0797115057126102,-0.0669018887246608,-0.82272729471936,0.558829143536613,0.1926434,0.2365828,0.3021696,-1.2508818,0.3435032,-1.4914676,-0.0231174000000001,1.278661,0.5202528,1.0137124,-0.2807378,0.1118504,0.1994596,0.5693036,-0.00443419999999995,-0.1191632,0.0799936000000001,0.0167508,-0.1225794,0.4035944,-0.3127086,-0.0234372
0.8713558,-1.1155844,0.5588602,-0.0814016704973849,-0.0683202591683512,-0.822442515822229,0.558833086346367,0.1967426,0.2416162,0.3043434,-1.2466452,0.3508118,-1.5125624,-0.0278646000000001,1.275016,0.5313222,1.0246426,-0.2845832,0.1142306,0.2037034,0.5770544,-0.00240079999999995,-0.1216988,0.0838234000000001,0.0171072,-0.1251876,0.4078196,-0.3172344,-0.0239358
0.8714756,-1.115242,0.5587786,-0.0833007185210077,-0.0697894993538587,-0.822275376077051,0.558617599052487,0.1998122,0.2467268,0.3062956,-1.2415166,0.3580496,-1.5330856,-0.0340074000000002,1.2709798,0.5409944,1.0357116,-0.290803,0.1162268,0.2053324,0.5827188,0.000660200000000097,-0.1241152,0.0884960000000001,0.0167784,-0.1295682,0.413396,-0.3213362,-0.0242524
0.871577,-1.115221,0.558616,-0.0853039015176409,-0.0712839177035487,-0.822164050821195,0.558290355460298,0.202367,0.251876,0.308137,-1.235942,0.365252,-1.553323,-0.040848,1.266748,0.549968,1.04685,-0.29821,0.118031,0.205654,0.58734,0.00423499999999995,-0.126472,0.09359,0.0161070000000001,-0.134835,0.419648,-0.325226,-0.024478
0.8718314,-1.1113384,0.559477,-0.0861471545284485,-0.072575422727148,-0.82146778193858,0.559018925457392,0.212165,0.2572742,0.3127666,-1.2361808,0.3720794,-1.578295,-0.039474,1.2656416,0.568389800000001,1.0584786,-0.2906602,0.122534,0.2243458,0.6035886,0.00193819999999994,-0.1297864,0.0938972,0.0198504000000001,-0.1286622,0.4177754,-0.332816,-0.025651
0.872266,-1.1056276,0.560743,-0.0862501876828309,-0.0736020254422548,-0.820244623721209,0.560662469077365,0.2237576,0.261677,0.316231,-1.2383618,0.3801508,-1.6035412,-0.0340163999999997,1.2645884,0.589645200000001,1.0681826,-0.277282199999999,0.1276744,0.247437600000001,0.626975400000001,-0.00368840000000028,-0.1330488,0.0915071999999998,0.0251846000000002,-0.1182142,0.4119938,-0.3403272,-0.0275350000000001
0.873061,-1.0962604,0.562819,-0.0848721474483181,-0.0740982846857063,-0.817961719641143,0.56413188883084,0.2389394,0.264089,0.317365,-1.2444272,0.3907102,-1.6293358,-0.0203915999999997,1.2636416,0.616567800000001,1.0740374,-0.252247799999999,0.1340896,0.279329400000001,0.664638600000001,-0.0159746000000003,-0.1362072,0.0837227999999998,0.0337004000000002,-0.0992157999999995,0.3983942,-0.3476808,-0.0308410000000001
0.8743216,-1.08448,0.5652354,-0.0823508899951894,-0.0737780367543717,-0.814506505375436,0.569521101374449,0.2521724,0.262237,0.3127654,-1.2521558,0.4046592,-1.6497588,-0.000101599999999495,1.2612204,0.643027200000001,1.072801,-0.221016199999999,0.140002,0.307423200000001,0.714393400000001,-0.0335156000000004,-0.1392808,0.0711591999999997,0.0435166000000002,-0.0782429999999995,0.3800922,-0.3505408,-0.0354486000000001
0.875815,-1.071493,0.567822,-0.0792539895126838,-0.0730459120027505,-0.810425118429859,0.575842189583187,0.264431,0.258253,0.305299,-1.260716,0.420303,-1.667496,0.0235210000000006,1.258062,0.669255,1.068019,-0.186685999999999,0.145663,0.333618,0.770194000000001,-0.0536840000000004,-0.142312,0.0562059999999996,0.0539830000000002,-0.0562829999999998,0.359439,-0.351154,-0.0407070000000001
0.8776762,-1.0598242,0.5695926,-0.0765900229060701,-0.0716598374650684,-0.805502410889889,0.583236403301701,0.2638628,0.247921,0.2883682,-1.2653066,0.440249400000001,-1.6703958,0.0479992000000006,1.2521682,0.6823416,1.0526446,-0.158466799999999,0.1474822,0.3336834,0.823201600000001,-0.0724274000000005,-0.1466344,0.0406035999999996,0.0606142000000002,-0.0485105999999998,0.3435888,-0.3405226,-0.0460536000000001
0.8796258,-1.0482912,0.5712656,-0.0740825421281296,-0.0702718522402844,-0.800462016334653,0.590621879157906,0.2610742,0.2370126,0.2710534,-1.2698334,0.460279400000001,-1.6706846,0.0735318000000008,1.2475956,0.6933,1.0351984,-0.129195599999999,0.148644,0.330408,0.872540400000001,-0.0895796000000004,-0.1513406,0.0245913999999995,0.0663168000000001,-0.0437374,0.3291304,-0.3282262,-0.0511166000000001
0.8817522,-1.0370298,0.5727434,-0.071894826089335,-0.0688863577610761,-0.795256779222524,0.598040516015943,0.2538448,0.2249514,0.252970599999999,-1.2742326,0.480476600000001,-1.6657514,0.101173200000001,1.2456654,0.700002,1.0136086,-0.097820399999999,0.148491,0.320451,0.914541600000001,-0.1035494,-0.1568144,0.00775959999999948,0.0701622000000001,-0.0449626,0.3174556,-0.3125998,-0.0556124000000001
0.8841422,-1.0259324,0.5740912,-0.0696994088403297,-0.0676475440605151,-0.790009041120213,0.605352390875109,0.2439866,0.2143434,0.235930599999999,-1.2784062,0.499413000000001,-1.6589082,0.130586200000001,1.2471512,0.7036044,0.987843999999999,-0.0639987999999988,0.1464528,0.305707199999999,0.944998400000001,-0.1126872,-0.1612522,-0.0103742000000006,0.0719972,-0.0487382000000002,0.3086564,-0.295667399999999,-0.0594382000000001
